activity_id,molecule_chembl_id,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_organism,standard_type,standard_relation,relation,IC50_nM,standard_units,pchembl_value,data_validity_comment,potential_duplicate,standard_flag,document_chembl_id,src_id,pIC50
561472,CHEMBL171437,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,72.0,nM,7.14,,0,1,CHEMBL1148427,1,7.142667503568731
562735,CHEMBL433732,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,420.0,nM,6.38,,0,1,CHEMBL1148427,1,6.376750709602099
565044,CHEMBL354576,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,110.0,nM,6.96,,0,1,CHEMBL1148427,1,6.958607314841775
565048,CHEMBL168866,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,170.0,nM,6.77,,0,1,CHEMBL1148427,1,6.769551078621726
566179,CHEMBL172631,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,210.0,nM,6.68,,0,1,CHEMBL1148427,1,6.6777807052660805
570039,CHEMBL171430,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,1700.0,nM,5.77,,0,1,CHEMBL1148427,1,5.769551078621726
570043,CHEMBL169204,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,13.0,nM,7.89,,0,1,CHEMBL1148427,1,7.886056647693163
570047,CHEMBL355203,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,180.0,nM,6.75,,0,1,CHEMBL1148427,1,6.7447274948966935
571347,CHEMBL171342,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,83.0,nM,7.08,,0,1,CHEMBL1148427,1,7.080921907623926
571351,CHEMBL354936,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,110.0,nM,6.96,,0,1,CHEMBL1148427,1,6.958607314841775
572554,CHEMBL169812,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,230.0,nM,6.64,,0,1,CHEMBL1148427,1,6.638272163982407
572558,CHEMBL172624,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,1200.0,nM,5.92,,0,1,CHEMBL1148427,1,5.920818753952375
572562,CHEMBL355716,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,270.0,nM,6.57,,0,1,CHEMBL1148427,1,6.568636235841012
573776,CHEMBL353840,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,47.0,nM,7.33,,0,1,CHEMBL1148427,1,7.327902142064282
574920,CHEMBL169179,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,46.0,nM,7.34,,0,1,CHEMBL1148427,1,7.337242168318426
576145,CHEMBL172730,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,3900.0,nM,5.41,,0,1,CHEMBL1148427,1,5.4089353929735005
576149,CHEMBL168281,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,220.0,nM,6.66,,0,1,CHEMBL1148427,1,6.657577319177793
577507,CHEMBL171609,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,440.0,nM,6.36,,0,1,CHEMBL1148427,1,6.356547323513812
577511,CHEMBL352632,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,870.0,nM,6.06,,0,1,CHEMBL1148427,1,6.060480747381382
578735,CHEMBL355248,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,150.0,nM,6.82,,0,1,CHEMBL1148427,1,6.823908740944319
578739,CHEMBL170051,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,330.0,nM,6.48,,0,1,CHEMBL1148427,1,6.481486060122112
579989,CHEMBL171733,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,110.0,nM,6.96,,0,1,CHEMBL1148427,1,6.958607314841775
579993,CHEMBL355051,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,290.0,nM,6.54,,0,1,CHEMBL1148427,1,6.537602002101044
579997,CHEMBL433533,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,420.0,nM,6.38,,0,1,CHEMBL1148427,1,6.376750709602099
581025,CHEMBL171290,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,250.0,nM,6.6,,0,1,CHEMBL1148427,1,6.6020599913279625
582253,CHEMBL355244,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,4600.0,nM,5.34,,0,1,CHEMBL1148427,1,5.337242168318426
582257,CHEMBL352354,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,240.0,nM,6.62,,0,1,CHEMBL1148427,1,6.619788758288394
583468,CHEMBL352402,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,110.0,nM,6.96,,0,1,CHEMBL1148427,1,6.958607314841775
584771,CHEMBL352520,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,43.0,nM,7.37,,0,1,CHEMBL1148427,1,7.366531544420413
586038,CHEMBL172057,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,180.0,nM,6.75,,0,1,CHEMBL1148427,1,6.7447274948966935
588536,CHEMBL353590,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,1100.0,nM,5.96,,0,1,CHEMBL1148427,1,5.958607314841775
588540,CHEMBL355479,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,94.0,nM,7.03,,0,1,CHEMBL1148427,1,7.026872146400302
589781,CHEMBL352548,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,95.0,nM,7.02,,0,1,CHEMBL1148427,1,7.022276394711152
671629,CHEMBL22310,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,48.0,nM,7.32,,0,1,CHEMBL1147603,1,7.318758762624412
672809,CHEMBL22545,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,830.0,nM,6.08,,0,1,CHEMBL1147603,1,6.080921907623926
674220,CHEMBL23223,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,89.0,nM,7.05,,0,1,CHEMBL1147603,1,7.050609993355087
675584,CHEMBL23051,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,270.0,nM,6.57,,0,1,CHEMBL1147603,1,6.568636235841012
678255,CHEMBL23880,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,210.0,nM,6.68,,0,1,CHEMBL1147603,1,6.6777807052660805
679295,CHEMBL416008,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,360.0,nM,6.44,,0,1,CHEMBL1147603,1,6.443697499232712
679297,CHEMBL281561,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,75.0,nM,7.12,,0,1,CHEMBL1147603,1,7.1249387366083
679300,CHEMBL283309,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,58.0,nM,7.24,,0,1,CHEMBL1147603,1,7.236572006437063
683561,CHEMBL280658,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,73.0,nM,7.14,,0,1,CHEMBL1147603,1,7.136677139879544
685040,CHEMBL283368,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,67.0,nM,7.17,,0,1,CHEMBL1147603,1,7.173925197299173
685045,CHEMBL277693,CHEMBL664925,Inhibitory activity against human Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,88.0,nM,7.06,,0,1,CHEMBL1147603,1,7.055517327849831
