parent_smiles,molecule_chembl_id,pref_name,canonical_smiles_examples,n_records,IC50_nM_median,IC50_nM_min,IC50_nM_max,pIC50_median,pIC50_min,pIC50_max,pIC50_std,pchembl_median,assay_type,assay_chembl_id,document_chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,pIC50_range
C[C@@H](C1CCC(c2ccc(F)cc2)CC1)[C@H](N)C(=O)N1CC[C@](C)(F)C1,CHEMBL392524,,C[C@@H](C1CCC(c2ccc(F)cc2)CC1)[C@H](N)C(=O)N1CC[C@](C)(F)C1,2,201.0,12.0,390.0,7.164877073462938,6.4089353929735005,7.920818753952375,1.069062976911271,7.165,B,CHEMBL898850;CHEMBL898855,CHEMBL1137497,364.48,4.02,2.0,1.0,46.33,4.0,0.0,1.5118833609788744
C[C@@H](C1CCC(c2cccc3ncnn23)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1,CHEMBL237152,,C[C@@H](C1CCC(c2cccc3ncnn23)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1,2,14.75,1.5,28.0,8.18837535480105,7.552841968657781,8.823908740944319,0.8987799340247083,8.185,B,CHEMBL898850;CHEMBL898855,CHEMBL1137497,391.47,2.83,5.0,1.0,76.52,4.0,0.0,1.271066772286538
C[C@@H](C1CCC(c2cccnc2)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1,CHEMBL237151,,C[C@@H](C1CCC(c2cccnc2)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1,2,77.3,4.6,150.0,7.580575454631372,6.823908740944319,8.337242168318426,1.0700883286925107,7.58,B,CHEMBL898850;CHEMBL898855,CHEMBL1137497,351.44,3.19,3.0,1.0,59.22,4.0,0.0,1.513333427374107
C[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL196120,,C[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,2,10500.4,0.8,21000.0,6.887345359137068,4.6777807052660805,9.096910013008056,3.1247963004445647,6.89,B,CHEMBL880567;CHEMBL913151,CHEMBL1139886;CHEMBL1141049,186.02,,,,,,,4.419129307741976
C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL63860,,C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,10,257.5,0.26,35000.0,7.06246936830415,4.455931955649724,9.585026652029182,1.849740681806442,7.0600000000000005,B,CHEMBL1768625;CHEMBL1768626;CHEMBL2066843;CHEMBL3706075;CHEMBL5737203;CHEMBL665783;CHEMBL913151;CHEMBL913152,CHEMBL1129318;CHEMBL1139886;CHEMBL1765065;CHEMBL2062502;CHEMBL3638744;CHEMBL5728672,186.02,,,,,,,5.1290946963794575
C[C@H](N)C(=S)N1CCC[C@H]1B(O)O,CHEMBL3686733,,C[C@H](N)C(=S)N1CCC[C@H]1B(O)O,3,200.0,0.35,20000.0,6.698970004336019,4.698970004336019,9.455931955649724,2.388497652194707,6.7,B,CHEMBL3706075;CHEMBL5737203,CHEMBL3638744;CHEMBL5728672,202.09,,,,,,,4.756961951313706
C[C@H](NC(=O)[C@H](C)N)B(O)O,CHEMBL3639856,,C[C@H](NC(=O)[C@H](C)N)B(O)O,2,251.5,63.0,440.0,6.778603387030115,6.356547323513812,7.200659450546418,0.596877409106556,6.78,B,CHEMBL3706075,CHEMBL3638744,159.98,,,,,,,0.8441121270326057
C[S+](C)Cc1ccc2cc1C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N2,CHEMBL302602,,C[S+](C)Cc1ccc2cc1C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N2.O=C(O)C(F)(F)F.O=C([O-])C(F)(F)F,2,306.5,3.0,610.0,7.368774455134785,6.214670164989233,8.522878745280337,1.6321499395168135,7.365,B,CHEMBL664926;CHEMBL664927,CHEMBL1131574,647.78,-2.3,8.0,7.0,220.93,2.0,2.0,2.3082085802911045
C[S+](C)Cc1ccc2cc1C(=O)NCC(=O)NCC(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N2,CHEMBL277390,,C[S+](C)Cc1ccc2cc1C(=O)NCC(=O)NCC(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N2.O=C(O)C(F)(F)F.O=C([O-])C(F)(F)F,2,506.0,12.0,1000.0,6.9604093769761874,6.0,7.920818753952375,1.3582239663500189,6.96,B,CHEMBL664926;CHEMBL664927,CHEMBL1131574,533.68,-0.53,6.0,5.0,162.73,2.0,1.0,1.920818753952375
Cc1c(-c2ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)ccc2ncnn12,CHEMBL209111,,Cc1c(-c2ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)ccc2ncnn12.O=C(O)C(F)(F)F,2,34.8,8.6,61.0,7.640085856872832,7.214670164989233,8.065501548756432,0.6016286411081201,7.640000000000001,B,CHEMBL866326;CHEMBL866327,CHEMBL1148642,438.51,1.77,6.0,1.0,96.83,5.0,0.0,0.8508313837671988
Cc1cc(-c2ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)cn2ncnc12,CHEMBL210621,,Cc1cc(-c2ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)cn2ncnc12.O=C(O)C(F)(F)F,2,395.0,150.0,640.0,6.508864383480216,6.1938200260161125,6.823908740944319,0.445540003074852,6.505000000000001,B,CHEMBL866326;CHEMBL866327,CHEMBL1148642,438.51,1.77,6.0,1.0,96.83,5.0,0.0,0.6300887149282062
Cc1cc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)sn1,CHEMBL272079,,Cc1cc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)sn1,2,139.5,69.0,210.0,6.919465807264412,6.6777807052660805,7.161150909262744,0.34179434906956585,6.92,B,CHEMBL932061;CHEMBL932062,CHEMBL1143182,377.51,0.7,6.0,1.0,68.78,3.0,0.0,0.48337020399666386
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,CHEMBL2147777;CHEMBL5596356,TENELIGLIPTIN,Br.Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1.O;Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,2,0.685,0.37,1.0,9.215899137966503,9.0,9.431798275933005,0.30532748901688783,9.215,B,CHEMBL2149800;CHEMBL5584751,CHEMBL2146473;CHEMBL5584222,426.59,1.57,7.0,1.0,56.64,4.0,0.0,0.431798275933005
Cc1cnc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)s1,CHEMBL439067,,Cc1cnc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)s1,2,720.0,340.0,1100.0,6.21356419889976,5.958607314841775,6.468521082957745,0.36056348325518717,6.215,B,CHEMBL932061;CHEMBL932062,CHEMBL1143182,377.51,0.7,6.0,1.0,68.78,3.0,0.0,0.50991376811597
Cc1csc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)n1,CHEMBL273206,,Cc1csc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)n1,2,101.0,52.0,150.0,7.05395269865476,6.823908740944319,7.2839966563652006,0.3253312849360883,7.050000000000001,B,CHEMBL932061;CHEMBL932062,CHEMBL1143182,377.51,0.7,6.0,1.0,68.78,3.0,0.0,0.4600879154208819
Cc1nc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)no1,CHEMBL270395,,Cc1nc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)no1,2,952.0,604.0,1300.0,6.052509854536016,5.886056647693163,6.218963061378869,0.23540038261765653,6.055,B,CHEMBL932061;CHEMBL932062,CHEMBL1143182,362.43,-0.37,7.0,1.0,94.81,3.0,0.0,0.3329064136857056
Cc1nc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)sc1C,CHEMBL271870,,Cc1nc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)sc1C,2,1155.0,410.0,1900.0,6.054231271163718,5.721246399047171,6.3872161432802645,0.470911722212291,6.055,B,CHEMBL932061;CHEMBL932062,CHEMBL1143182,391.54,1.01,6.0,1.0,68.78,3.0,0.0,0.6659697442330934
