activity_id,molecule_chembl_id,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_organism,standard_type,standard_relation,relation,IC50_nM,standard_units,pchembl_value,data_validity_comment,potential_duplicate,standard_flag,document_chembl_id,src_id,pIC50,pref_name,canonical_smiles,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,has_multiple_fragments_raw,parent_smiles,has_multiple_fragments_parent
297737,CHEMBL268527,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,1400.0,nM,5.85,,0,1,CHEMBL1132608,1,5.853871964321762,,COC(=O)C(Cc1ccc(OP(=O)(Oc2ccc(CC(NC(C)=O)C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1)NC(C)=O.Cl,686.7,2.48,11.0,3.0,178.67,14.0,2.0,True,COC(=O)C(Cc1ccc(OP(=O)(Oc2ccc(CC(NC(C)=O)C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1)NC(C)=O,False
298915,CHEMBL9408,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,16.0,nM,7.8,,0,1,CHEMBL1132608,1,7.795880017344075,,COC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,516.49,3.61,9.0,1.0,120.47,8.0,1.0,True,COC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1,False
301601,CHEMBL430281,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,2300.0,nM,5.64,,0,1,CHEMBL1132608,1,5.638272163982407,,Cl.NC(=O)Nc1cccc(OP(=O)(OC2=CC=CC(NC(N)=O)C2)C2CCCN2C(=O)C2CCCN2)c1,518.51,2.35,7.0,5.0,178.11,8.0,1.0,True,NC(=O)Nc1cccc(OP(=O)(OC2=CC=CC(NC(N)=O)C2)C2CCCN2C(=O)C2CCCN2)c1,False
301604,CHEMBL274829,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,23.0,nM,7.64,,0,1,CHEMBL1132608,1,7.638272163982407,,CCOC(=O)CNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCC(=O)OCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,658.64,2.62,11.0,3.0,178.67,14.0,2.0,True,CCOC(=O)CNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCC(=O)OCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1,False
302763,CHEMBL9527,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,5000.0,nM,5.3,,0,1,CHEMBL1132608,1,5.301029995663981,,Cl.O=C(C1CCCN1)N1CCCC1P(=O)(Oc1ccc(NN2CCCC2)cc1)Oc1ccc(NN2CCCC2)cc1,568.66,4.88,9.0,3.0,98.41,10.0,1.0,True,O=C(C1CCCN1)N1CCCC1P(=O)(Oc1ccc(NN2CCCC2)cc1)Oc1ccc(NN2CCCC2)cc1,False
304307,CHEMBL278393,CHEMBL664532,Inhibitory activity against dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,320.0,nM,6.5,,0,1,CHEMBL1146708,1,6.494850021680094,,N[C@H](C(=O)N1CCCC1)C1CCCCC1,210.32,1.52,2.0,1.0,46.33,2.0,0.0,False,N[C@H](C(=O)N1CCCC1)C1CCCCC1,False
305623,CHEMBL98408,CHEMBL664532,Inhibitory activity against dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,420.0,nM,6.38,,0,1,CHEMBL1146708,1,6.376750709602099,,CC[C@H](C)[C@H](N)C(=O)N1CCSC1,202.32,0.89,3.0,1.0,46.33,3.0,0.0,False,CC[C@H](C)[C@H](N)C(=O)N1CCSC1,False
306963,CHEMBL1682974,CHEMBL664532,Inhibitory activity against dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,33.0,nM,7.48,,0,1,CHEMBL1146708,1,7.481486060122112,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(OC(F)(F)F)cc2)CC1,431.48,2.73,5.0,2.0,84.66,5.0,0.0,False,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(OC(F)(F)F)cc2)CC1,False
308219,CHEMBL22359,CHEMBL664532,Inhibitory activity against dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,53.0,nM,7.28,,0,1,CHEMBL1146708,1,7.275724130399211,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,383.46,2.11,4.0,2.0,75.43,4.0,0.0,False,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,False
308225,CHEMBL22679,CHEMBL664532,Inhibitory activity against dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,94.0,nM,7.03,,0,1,CHEMBL1146708,1,7.026872146400302,,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,359.47,2.42,4.0,2.0,84.66,5.0,0.0,False,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,False
309669,CHEMBL3084936,CHEMBL664532,Inhibitory activity against dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,24.0,nM,7.62,,0,1,CHEMBL1146708,1,7.619788758288394,,N#Cc1cccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)c1,408.55,1.26,6.0,2.0,116.29,5.0,0.0,False,N#Cc1cccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)c1,False
309671,CHEMBL3084942,CHEMBL664532,Inhibitory activity against dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,18.0,nM,7.75,,0,1,CHEMBL1146708,1,7.7447274948966935,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc3ccccc3c2)CC1,433.6,2.54,5.0,2.0,92.5,5.0,0.0,False,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc3ccccc3c2)CC1,False
309673,CHEMBL3084949,CHEMBL664532,Inhibitory activity against dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,15.0,nM,7.82,,0,1,CHEMBL1146708,1,7.823908740944319,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,397.54,2.99,4.0,2.0,75.43,4.0,0.0,False,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,False
309679,CHEMBL3084939,CHEMBL664532,Inhibitory activity against dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,35.0,nM,7.46,,0,1,CHEMBL1146708,1,7.455931955649724,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(F)c(F)c2)CC1,398.48,2.51,4.0,3.0,87.46,4.0,0.0,False,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(F)c(F)c2)CC1,False
