parent_smiles,molecule_chembl_id,pIC50_median,activity_class,PCA1,PCA2,tSNE1,tSNE2,Set
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cc(Br)ccc2C(=O)O)c1=O,CHEMBL4558007,8.602059991327963,High,-2.972975458541378,-0.7311409147090235,-56.732037,-34.15524,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cc(Br)ccc2C(=O)OC)c1=O,CHEMBL4445783,6.403402904373539,Moderate,-2.9438795591388875,-0.5686855226606028,-55.8881,-35.377125,Test
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cc(C#N)ccc2C(=O)O)c1=O,CHEMBL4516959,8.455931955649724,High,-3.102323247671356,-0.29382641982117763,-56.80344,-33.965443,Test
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cc(C(=O)O)ccc2Br)c1=O,CHEMBL4873862,7.886056647693163,High,-2.960232280366007,-0.6855537991703116,-56.726482,-34.168003,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cc(C(=O)O)ccc2F)c1=O,CHEMBL4857729,8.55284196865778,High,-2.4154594012927686,-1.2907408792790271,-55.552956,-33.58326,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cc(C(=O)OC)ccc2Br)c1=O,CHEMBL4856255,8.585026652029182,High,-2.9258818862261404,-0.5307056620789671,-55.93756,-35.489178,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cc(C(=O)OC)ccc2F)c1=O,CHEMBL4876894,8.366531544420413,High,-2.381109007152901,-1.1358927421876832,-55.0248,-34.57701,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cc(Cl)c3ccccc3n2)c1=O,CHEMBL2425895,8.920818753952375,High,-3.6852737199037633,-1.2426951392353727,-59.954388,-32.27661,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cc(OC)ccc2C(=O)O)c1=O,CHEMBL4581959,8.397940008672037,High,-2.983919080029384,-0.733070415597179,-55.439487,-35.89617,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(Br)c(C(=O)O)c2)c1=O,CHEMBL4856337,9.096910013008056,High,-2.9433958454617457,-0.5104987559678325,-57.585003,-34.850906,Test
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(Br)c(C(=O)OC)c2)c1=O,CHEMBL4851477,8.886056647693163,High,-2.892655972964798,-0.37163562936579947,-56.80148,-35.77466,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(Br)cc2C(=O)O)c1=O,CHEMBL4527363,8.337242168318426,High,-2.9727701199107606,-0.7361310978609791,-56.757988,-34.1747,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(Br)cc2C(=O)OC)c1=O,CHEMBL5275484,6.403402904373539,Moderate,-2.9496490884655926,-0.5833963298795212,-55.902554,-35.384403,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(C(=O)OC)cc2)c1=O,CHEMBL4862579,8.036212172654444,High,-2.9108523369470873,-0.3994806892548842,-57.028942,-35.95853,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(Cl)c(C(=O)N(C)C)c2)c1=O,CHEMBL5279728,8.795880017344075,High,-2.945094775472017,-0.568881558256741,-58.355625,-35.13272,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(Cl)c(C(=O)O)c2)c1=O,CHEMBL4865204,9.0,High,-2.9901535909934824,-0.5996548247900533,-58.236214,-35.04509,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(Cl)c(C(=O)OC)c2)c1=O,CHEMBL4845890,8.958607314841775,High,-2.9665124121618702,-0.4447639943276589,-57.52723,-35.641052,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(Cl)cc2C(=O)O)c1=O,CHEMBL4562685,8.4089353929735,High,-2.965813098312059,-0.8559823268509129,-58.55956,-34.511482,Test
