molecule_chembl_id,pref_name,parent_smiles,pIC50_median,activity_class,MW,LogP,HBA,HBD
CHEMBL402151,,N[C@H](C(=O)N1CC[C@H]1C(=O)c1nc2ccccc2s1)C1CCCCC1,7.376750709602099,High,357.4790000000002,2.9875000000000016,5,1
CHEMBL402236,,N[C@H](C(=O)N1CC[C@H]1C(=O)c1nccs1)C1CCCCC1,7.522878745280337,High,307.41900000000015,1.8342999999999998,5,1
CHEMBL416008,,N[C@H](C(=O)N1C[C@@H](F)[C@H](F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,6.443697499232712,Moderate,395.4500000000002,2.3173000000000004,4,2
CHEMBL277193,,N[C@H](C(=O)N1C[C@@H](F)[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,6.6020599913279625,Moderate,437.4590000000002,1.6475999999999997,4,2
CHEMBL23051,,N[C@H](C(=O)N1C[C@@H](F)[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,6.568636235841012,Moderate,485.4750000000002,2.268,5,2
CHEMBL22545,,N[C@H](C(=O)N1C[C@H](F)[C@@H](F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,6.080921907623926,Moderate,395.4500000000002,2.3173000000000004,4,2
CHEMBL431885,,N[C@H](C(=O)N1C[C@H](F)[C@@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,6.060480747381382,Moderate,485.4750000000002,2.268,5,2
CHEMBL5768759,,N[C@H](C(=O)N1Cc2ccc(F)cc2C1)C1CCCC1,5.353988590408761,Low,262.328,2.1853999999999996,2,1
CHEMBL5425473,,N[C@H](C(=O)N1Cc2ccccc2C1)C1CCC(O)CC1,5.455931955649724,Low,274.36400000000003,1.4071999999999993,3,2
CHEMBL440021,,N[C@H](C(=O)N1Cc2ccccc2C1)C1CCCCC1,4.823908740944319,Low,258.36499999999995,2.4364,2,1
CHEMBL362364,,N[C@H](CCc1ccccc1)CC(=O)N1CCSC1,4.783042792638903,Low,264.39399999999995,1.8695,3,1
CHEMBL450211,,N[C@H](Cc1cc(F)c(F)cc1F)C1CCCCC1,5.446116973356125,Low,257.2989999999999,3.554000000000002,1,1
CHEMBL498749,,N[C@H](Cc1cc(F)c(F)cc1F)C1CCN(C(=O)c2cc3ccccc3cn2)CC1,7.585026652029182,High,413.44300000000015,4.074300000000004,3,1
CHEMBL497735,,N[C@H](Cc1cc(F)c(F)cc1F)C1CCN(C(=O)c2ccc(F)cc2F)CC1,7.455931955649724,High,398.3750000000001,3.804300000000003,2,1
CHEMBL485125,,N[C@H](Cc1cc(F)c(F)cc1F)C1CCN(C(=O)c2cnc3ncccn23)CC1,7.568636235841012,High,403.40800000000013,2.5688000000000004,4,1
CHEMBL451619,,N[C@H](Cc1cc(F)c(F)cc1F)C1CCNCC1,6.565431095965801,Moderate,258.287,1.9733,2,2
CHEMBL6190034,,N[C@H](Cc1cc(F)c(F)cc1F)Cn1cc(-c2ccccc2)nn1,6.721246399047171,Moderate,332.329,2.9324000000000012,3,1
CHEMBL6190892,,N[C@H](Cc1cc(F)c(F)cc1F)Cn1cc(CO)nn1,6.721246399047171,Moderate,286.25699999999995,0.7577,4,2
CHEMBL496691,,N[C@H](Cc1cc(F)c(F)cc1F)c1ccncc1,5.705533773838408,Low,252.239,2.7414000000000005,2,1
CHEMBL1683144,,N[C@H](Cc1cc(F)ccc1F)C1CCN(C2CCCC(C(=O)O)C2)CC1,7.292429823902063,High,366.45200000000017,3.1900000000000013,3,2
CHEMBL1683136,,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ccc(F)nc2)CC1,6.958607314841775,Moderate,335.37300000000005,3.285300000000002,3,1
CHEMBL1683131,,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ccccn2)CC1,6.346787486224656,Moderate,317.38300000000004,3.146200000000002,3,1
CHEMBL1683132,,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2cccnc2)CC1,6.958607314841775,Moderate,317.38300000000004,3.146200000000002,3,1
CHEMBL1683133,,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ccncc2)CC1,6.366531544420413,Moderate,317.38300000000004,3.146200000000002,3,1
CHEMBL1683142,,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2cnc(O)nc2)CC1,7.142667503568731,High,334.37000000000006,2.2468000000000004,5,2
CHEMBL1683140,,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2cncnc2)CC1,7.1249387366083,High,318.37100000000004,2.541200000000001,4,1
CHEMBL1683139,,N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ncccn2)CC1,6.173925197299173,Moderate,318.37100000000004,2.541200000000001,4,1
CHEMBL1683113,,N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H](N2CCC(F)(F)C2)CC1,6.0,Moderate,344.3960000000001,3.7344000000000035,2,1
CHEMBL1683116,,N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H](N2CCCCC2)CC1,5.7447274948966935,Low,322.44300000000015,3.8793000000000033,2,1
CHEMBL1683115,,N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H](N2CCn3c(nnc3C(F)(F)F)C2)CC1,6.552841968657781,Moderate,429.4370000000001,3.5195000000000025,4,1
CHEMBL1683128,,N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N(CCCC(F)(F)F)Cc2ccccc2)CC1,6.161150909262744,Moderate,454.52700000000016,6.2381000000000055,2,1
CHEMBL1683114,,N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N2CCC(F)(F)C2)CC1,6.070581074285707,Moderate,344.3960000000001,3.7344000000000035,2,1
CHEMBL1683117,,N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N2CCCCC2)CC1,6.481486060122112,Moderate,322.44300000000015,3.8793000000000033,2,1
CHEMBL1683123,,N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N2CCC[C@@H](O)C2)CC1,6.568636235841012,Moderate,338.4420000000001,2.850100000000001,3,2
CHEMBL1681802,,N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N2CCn3c(nnc3C(F)(F)F)C2)CC1,6.481486060122112,Moderate,429.4370000000001,3.5195000000000025,4,1
CHEMBL1683124,,N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](NCCCC(F)(F)F)CC1,6.040958607678906,Moderate,364.40200000000004,4.3255000000000035,2,2
CHEMBL471936,,N[C@H](Cc1cc(F)ccc1F)c1ccc(-c2ccncc2)cc1,6.596879478824182,Moderate,310.347,4.269300000000002,2,1
CHEMBL472123,,N[C@H](Cc1cc(F)ccc1F)c1ccc(-c2ccncc2Cl)cc1,6.97061622231479,Moderate,344.79200000000003,4.9227000000000025,2,1
CHEMBL504506,,N[C@H](Cc1cc(F)ccc1F)c1ccc(Br)cc1,5.886056647693163,Low,312.157,3.969800000000002,1,1
CHEMBL206743,,N[C@H](c1ccccc1)[C@@H](N)c1ccccc1,4.1249387366083,Low,212.29599999999996,2.386400000000001,2,2
CHEMBL381340,,N[C@H](c1ccccc1)[C@H](N)c1ccccc1,4.346787486224656,Low,212.29599999999996,2.386400000000001,2,2
CHEMBL495932,,N[C@H]1CCCCN(P(N)(=O)NS(=O)(=O)O)C1=O,7.602059991327962,High,286.25000000000006,-1.214599999999999,5,4
CHEMBL504823,,N[C@H]1CCCN([P@@](N)(=O)NS(=O)(=O)O)C1=O,7.67778070526608,High,272.22300000000007,-1.6046999999999993,5,4
CHEMBL497993,,N[C@H]1CCN(P(N)(N)=O)C1=O,7.958607314841775,High,178.13199999999998,-1.4284999999999997,3,3
CHEMBL401269,,N[C@H]1CN(C(=O)c2cc3cc(Cl)ccc3o2)C[C@H]1C(=O)N1CCCC1,7.0655015487564325,High,361.8290000000002,2.1079,4,1
CHEMBL249825,,N[C@H]1CN(C(=O)c2cc3ccccc3cn2)C[C@H]1C(=O)N1CCCC1,7.327902142064282,High,338.4110000000002,1.256499999999999,4,1
CHEMBL248837,,N[C@H]1CN(C(=O)c2cc3ccccc3s2)C[C@H]1C(=O)N1CCCC1,7.207608310501746,High,343.4520000000002,1.9229999999999994,4,1
CHEMBL401268,,N[C@H]1CN(C(=O)c2ccc(-n3cncn3)cc2)C[C@H]1C(=O)N1CCCC1,7.397940008672037,High,354.4140000000002,0.28899999999999904,5,1
CHEMBL249427,,N[C@H]1CN(C(=O)c2ccc(-n3cnnn3)cc2)C[C@H]1C(=O)N1CCCC1,7.522878745280337,High,355.4020000000002,-0.3159999999999994,6,1
CHEMBL248838,,N[C@H]1CN(C(=O)c2ccc3ccccc3c2)C[C@H]1C(=O)N1CCCC1,7.102372908709558,High,337.4230000000002,1.8615,3,1
CHEMBL249620,,N[C@H]1CN(C(=O)c2ccc3ncccc3c2)C[C@H]1C(=O)N1CCCC1,7.42021640338319,High,338.4110000000002,1.256499999999999,4,1
CHEMBL399247,,N[C@H]1CN(C(=O)c2ccc3ncsc3c2)C[C@H]1C(=O)N1CCCC1,7.376750709602099,High,344.44000000000017,1.3179999999999996,5,1
CHEMBL249826,,N[C@H]1CN(C(=O)c2cnc3ccccc3c2)C[C@H]1C(=O)N1CCCC1,7.309803919971486,High,338.4110000000002,1.256499999999999,4,1
CHEMBL428936,,N[C@H]1CN(C(=O)c2cnc3ccccc3n2)C(=O)[C@H]1C(=O)N1CCCC1,7.187086643357144,High,353.38200000000023,0.1780999999999986,6,1
CHEMBL1230044,,N[C@H]1CN(C(=O)c2cnc3ccccc3n2)C[C@H]1C(=O)N1CCCC1,7.187086643357144,High,339.39900000000017,0.6514999999999989,5,1
CHEMBL250611,,N[C@H]1CN(Cc2ccc(-c3csnn3)cc2)C[C@H]1C(=O)N1CCCC1,7.040958607678906,High,357.48300000000023,1.5865999999999996,6,1
CHEMBL249174,,N[C@H]1CN(Cc2ccc(-n3cncn3)cc2)C[C@H]1C(=O)N1CCCC1,7.161150909262744,High,340.43100000000015,0.6487999999999992,5,1
CHEMBL250393,,N[C@H]1CN(Cc2ccc(-n3cnnn3)cc2)C[C@H]1C(=O)N1CCCC1,7.301029995663981,High,341.41900000000015,0.04379999999999984,6,1
CHEMBL428937,,N[C@H]1CN(Cc2ccc(F)c(F)c2)C[C@H]1C(=O)N1CCCC1,7.096910013008056,High,309.3600000000001,1.3462999999999996,3,1
CHEMBL250852,,N[C@H]1CN(Cc2cnc3ccccc3c2)C[C@H]1C(=O)N1CCCC1,7.568636235841012,High,324.42800000000017,1.616299999999999,4,1
CHEMBL1683558,,N[C@H]1CN(c2cc(-c3cc(F)c(F)cc3F)ncn2)C[C@@H]1N1CCCC1=O,6.311580177997289,Moderate,377.3700000000002,1.6992,5,1
CHEMBL1683559,,N[C@H]1CN(c2cc(-c3cc(F)c(F)cc3F)ncn2)C[C@@H]1N1CCCCC1=O,7.327902142064282,High,391.3970000000002,2.0893,5,1
CHEMBL1683557,,N[C@H]1CN(c2cc(-c3cc(F)cc(F)c3F)ncn2)C[C@@H]1c1ccccc1,7.886056647693163,High,370.37800000000004,3.4920000000000027,4,1
