parent_smiles,molecule_chembl_id,pref_name,canonical_smiles_examples,n_records,IC50_nM_median,IC50_nM_min,IC50_nM_max,pIC50_median,pIC50_min,pIC50_max,pIC50_std,pchembl_median,assay_type,assay_chembl_id,document_chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,pIC50_range,activity_class
CC#CCn1c(C(=O)N(C)Cc2cccc3ccccc23)cnc1N1CCCC(N)C1,CHEMBL257589,,CC#CCn1c(C(=O)N(C)Cc2cccc3ccccc23)cnc1N1CCCC(N)C1,1,3059.0,3059.0,3059.0,5.514420523015321,5.514420523015321,5.514420523015321,0.0,5.51,B,CHEMBL925952,CHEMBL1145558,415.54,3.26,5.0,1.0,67.39,5.0,0.0,0.0,Low
CC#CCn1c(C(=O)NCc2cccc3ccccc23)cnc1N1CCCC(N)C1,CHEMBL401972,,CC#CCn1c(C(=O)NCc2cccc3ccccc23)cnc1N1CCCC(N)C1,1,107.0,107.0,107.0,6.97061622231479,6.97061622231479,6.97061622231479,0.0,6.97,B,CHEMBL925952,CHEMBL1145558,401.51,2.92,5.0,2.0,76.18,5.0,0.0,0.0,Moderate
CC#CCn1c(C(=O)NCc2nc(C)cc3ccccc23)cnc1N1CCCC(N)C1,CHEMBL257795,,CC#CCn1c(C(=O)NCc2nc(C)cc3ccccc23)cnc1N1CCCC(N)C1,1,99.0,99.0,99.0,7.00436480540245,7.00436480540245,7.00436480540245,0.0,7.0,B,CHEMBL925952,CHEMBL1145558,416.53,2.62,6.0,2.0,89.07,5.0,0.0,0.0,High
CC#CCn1c(C(=O)NCc2nc(C)cc3ccccc23)nnc1N1CCCC(N)C1,CHEMBL255517,,CC#CCn1c(C(=O)NCc2nc(C)cc3ccccc23)nnc1N1CCCC(N)C1,1,24.0,24.0,24.0,7.619788758288394,7.619788758288394,7.619788758288394,0.0,7.62,B,CHEMBL925952,CHEMBL1145558,417.52,2.02,7.0,2.0,101.96,5.0,0.0,0.0,High
CC#CCn1c(N2CC(=O)N[C@H](CO)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL3616896,,CC#CCn1c(N2CC(=O)N[C@H](CO)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,1,18100.0,18100.0,18100.0,4.7423214251308154,4.7423214251308154,4.7423214251308154,0.0,4.74,B,CHEMBL3620564,CHEMBL3616424,502.54,-0.48,11.0,2.0,140.17,5.0,2.0,0.0,Low
CC#CCn1c(N2CCCC(N)C2)nc(Br)c1C(=O)NCc1cccc2ccccc12,CHEMBL402111,,CC#CCn1c(N2CCCC(N)C2)nc(Br)c1C(=O)NCc1cccc2ccccc12,1,559.0,559.0,559.0,6.252588192113577,6.252588192113577,6.252588192113577,0.0,6.25,B,CHEMBL925952,CHEMBL1145558,480.41,3.68,5.0,2.0,76.18,5.0,0.0,0.0,Moderate
CC#CCn1c(N2CCCC(N)C2)nc(C#N)c1C(=O)NCc1cccc2ccccc12,CHEMBL402573,,CC#CCn1c(N2CCCC(N)C2)nc(C#N)c1C(=O)NCc1cccc2ccccc12,1,582.0,582.0,582.0,6.235077015350111,6.235077015350111,6.235077015350111,0.0,6.24,B,CHEMBL925952,CHEMBL1145558,426.52,2.79,6.0,2.0,99.97,5.0,0.0,0.0,Moderate
CC#CCn1c(N2CCCC(N)C2)nc2c(C)nn(Cc3nc(C)cc4ccccc34)c(=O)c21,CHEMBL255709,,CC#CCn1c(N2CCCC(N)C2)nc2c(C)nn(Cc3nc(C)cc4ccccc34)c(=O)c21,1,7.0,7.0,7.0,8.154901959985743,8.154901959985743,8.154901959985743,0.0,8.15,B,CHEMBL925952,CHEMBL1145558,455.57,2.76,8.0,1.0,94.86,4.0,0.0,0.0,High
CC#CCn1c(N2CCCC(N)C2)nc2c(OC)nn(Cc3cccc4ccccc34)c(=O)c21,CHEMBL255864,,CC#CCn1c(N2CCCC(N)C2)nc2c(OC)nn(Cc3cccc4ccccc34)c(=O)c21,1,52.0,52.0,52.0,7.2839966563652006,7.2839966563652006,7.2839966563652006,0.0,7.28,B,CHEMBL925952,CHEMBL1145558,456.55,2.75,8.0,1.0,91.2,5.0,0.0,0.0,High
CC#CCn1c(N2CCCC(N)C2)nc2c(OC)nn(Cc3nc(C)cc4ccccc34)c(=O)c21,CHEMBL255862,,CC#CCn1c(N2CCCC(N)C2)nc2c(OC)nn(Cc3nc(C)cc4ccccc34)c(=O)c21,1,19.0,19.0,19.0,7.721246399047171,7.721246399047171,7.721246399047171,0.0,7.72,B,CHEMBL925952,CHEMBL1145558,471.57,2.46,9.0,1.0,104.09,5.0,0.0,0.0,High
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(C)c(=O)n2C,CHEMBL237280,,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(C)c(=O)n2C,1,88.0,88.0,88.0,7.055517327849831,7.055517327849831,7.055517327849831,0.0,7.06,B,CHEMBL902716,CHEMBL1138349,330.39,-0.62,8.0,1.0,91.08,2.0,0.0,0.0,High
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1cc(=O)n(C)c3ccccc13)c(=O)n2C,CHEMBL3986470,,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1cc(=O)n(C)c3ccccc13)c(=O)n2C,1,6.0,6.0,6.0,8.221848749616356,8.221848749616356,8.221848749616356,0.0,8.22,B,CHEMBL3888356,CHEMBL3886676,487.56,0.75,10.0,1.0,113.08,4.0,0.0,0.0,High
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1cccc3ccccc13)c(=O)n2C,CHEMBL404326,,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1cccc3ccccc13)c(=O)n2C,1,15.0,15.0,15.0,7.823908740944319,7.823908740944319,7.823908740944319,0.0,7.82,B,CHEMBL925952,CHEMBL1145558,456.55,2.05,8.0,1.0,91.08,4.0,0.0,0.0,High
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1ccnc3ccccc13)c(=O)n2C,CHEMBL3985360,,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1ccnc3ccccc13)c(=O)n2C,1,9.0,9.0,9.0,8.045757490560675,8.045757490560675,8.045757490560675,0.0,8.05,B,CHEMBL3888356,CHEMBL3886676,457.54,1.44,9.0,1.0,103.97,4.0,0.0,0.0,High
